fecha,chuqui_y_r_tomic,chuquicamata,radomiro_tomic,ministro_hales,salvador,andina,el_teniente,gabriela_mistral,total_codelco,escondida,spence,cerro_colorado,lomas_bayas,collahuasi,los_bronces,el_soldado,angloamerican_sur,el_abra,candelaria,caserones,ojos_del_salado,mantos_blancos,mantoverde,capstone_copper,los_pelambres,zaldivar,centinela_sulfuros,centinela_oxidos,antucoya,quebrada_blanca,andacollo,michilla,haldeman,sierra_gorda,atacama_kozan,tres_valles,franke,altos_de_punitaqui,cerro_negro,pampa_camarones,enami_plantas,otros,total_chile
2014-01-01,54.413,21.532,32.881,8.5,5.2,17.9,34.8,8.3,129.113,87.9,12.2,7.4,6.2,36.9,40.192,3.002,43.194,14.0,10.8,2.9,1.6,4.663,4.533,9.196000000000002,33.8,7.3,13.4,7.6,0.0,5.0,5.8,3.6,1.0,0.0,1.2,0.6,1.8,1.0,0.843,0.0,1.854,15.402999999999999,461.6030000000001
2014-02-01,48.554,23.154,25.4,7.3,2.5,17.1,32.9,7.3,115.654,92.5,14.2,6.8,5.6,42.8,40.035,3.305,43.339999999999996,12.8,12.1,2.7,2.2,4.42,4.202,8.622,27.8,7.1,13.2,7.7,0.0,4.4,5.9,3.1,0.9,0.0,0.9,0.5,1.6,1.1,0.648,0.0,1.569,15.082999999999998,450.81600000000003
2014-03-01,54.001999999999995,31.142,22.86,13.7,4.3,18.3,38.4,9.1,137.80199999999996,92.4,15.0,7.8,6.2,39.2,35.332,3.657,38.989000000000004,14.9,11.0,2.4,1.9,3.864,4.405,8.269,37.4,9.8,15.0,8.4,0.0,4.6,7.0,4.1,0.9,0.0,1.2,0.6,1.6,1.1,0.742,0.0,1.61,12.048,481.9599999999999
2014-04-01,48.457,29.571,18.886,16.2,3.2,19.1,29.5,9.4,125.857,104.5,12.9,6.2,6.1,41.6,32.447,3.222,35.669000000000004,14.2,10.0,0.0,2.0,3.497,4.251,7.748,35.0,9.1,16.0,8.0,0.0,3.8,5.7,4.1,0.6,0.0,0.9,0.7,1.6,0.9,0.633,0.0,1.598,15.869,471.274
2014-05-01,55.451,28.295,27.156,15.6,2.7,17.7,41.2,10.1,142.751,104.9,16.4,7.1,6.1,38.1,36.995,2.896,39.891,14.2,12.4,0.0,1.4,4.431,4.115,8.546,35.5,8.5,15.0,6.5,0.0,2.7,6.9,4.1,0.8,0.0,1.2,0.6,1.2,0.9,0.693,0.0,1.516,15.791,493.688
2014-06-01,60.941,31.848,29.093,4.5,4.8,19.2,37.4,9.5,136.341,116.9,16.3,8.1,4.9,42.1,36.604,2.221,38.825,13.9,8.7,2.2,2.5,4.382,3.818,8.2,33.8,7.2,12.8,7.8,0.0,3.9,5.6,4.2,0.9,0.0,1.1,0.7,1.5,0.9,0.475,0.0,1.481,11.744,493.0659999999999
2014-07-01,57.929,31.389,26.54,14.2,4.1,19.3,40.9,10.1,146.529,83.2,12.5,5.1,5.2,38.4,37.792,2.164,39.956,13.7,9.1,4.6,1.7,4.303,4.636,8.939,31.8,8.0,16.3,5.8,0.0,3.5,5.8,3.4,0.8,0.0,1.0,0.7,1.9,1.0,0.459,0.01,1.594,14.437,465.42400000000004
2014-08-01,58.602000000000004,30.425,28.177,19.2,5.2,20.8,42.9,10.0,156.702,96.2,11.8,5.3,5.4,36.8,28.282,2.431,30.713,13.7,10.2,5.4,1.7,3.967,4.201,8.168,34.4,9.1,14.1,7.6,0.0,4.0,6.4,3.8,0.9,0.0,1.3,0.7,1.7,0.9,0.429,0.414,1.593,13.564,482.9829999999999
2014-09-01,51.006,27.777,23.229,10.1,5.6,20.3,42.0,11.1,140.106,96.1,15.8,5.2,4.7,35.1,29.603,2.115,31.718000000000004,13.3,10.7,5.4,1.8,4.73,4.201,8.931000000000001,32.0,8.1,14.1,8.6,0.0,3.8,3.8,3.7,0.8,0.0,1.3,0.7,1.6,0.7,0.146,0.42,1.668,14.466000000000001,464.7550000000002
2014-10-01,56.992,27.089,29.903,16.5,6.4,21.2,43.6,12.5,157.19199999999998,84.9,16.6,6.6,5.2,40.0,33.483,2.26,35.742999999999995,13.6,15.7,6.0,1.5,4.45,4.655,9.105,33.1,7.6,14.2,7.6,0.0,3.9,6.0,4.0,0.8,3.8,1.2,0.8,1.6,0.9,0.264,0.501,1.62,13.614999999999998,493.64000000000004
2014-11-01,57.370999999999995,27.147,30.224,1.5,3.9,21.0,39.5,11.3,134.571,93.8,15.5,6.7,5.3,37.1,28.579,2.108,30.687,13.8,10.9,7.6,1.9,4.71,4.388,9.097999999999999,34.5,8.7,18.4,8.5,0.0,3.9,6.5,4.2,0.8,4.0,1.2,0.8,1.3,1.0,0.134,0.385,1.543,14.438,477.2559999999999
2014-12-01,63.923,30.994,32.929,13.9,6.1,20.5,32.4,12.3,149.123,112.1,16.9,7.3,5.5,42.3,25.167,3.032,28.199,14.3,13.1,5.4,1.8,5.001,4.392,9.393,35.5,10.1,18.2,9.7,0.0,4.6,6.4,4.7,0.8,4.9,1.2,0.8,1.8,1.1,0.513,0.308,1.692,16.887,524.615
2015-01-01,43.306,17.808,25.498,21.3,3.3,17.9,42.3,11.2,139.30599999999998,126.6,16.6,7.5,5.6,39.0,34.299,1.713,36.012,14.0,12.8,5.3,2.1,4.742,4.323,9.065000000000001,31.1,9.2,14.3,8.0,0.0,4.0,6.2,2.4,0.9,8.0,0.9,0.7,1.4,0.9,0.479,0.31,1.612,14.799,519.083
2015-02-01,37.711,11.359,26.352,13.2,2.4,18.6,32.1,10.3,114.311,104.8,14.7,6.7,5.7,30.3,31.154,2.196,33.35,12.2,15.2,6.9,2.1,4.418,3.749,8.167,23.9,8.0,14.8,6.8,0.0,4.0,6.2,2.4,0.7,4.9,1.2,0.7,1.3,0.8,0.519,0.333,1.408,13.34,445.72799999999995
2015-03-01,46.485,19.611,26.874,16.7,4.4,19.2,43.1,10.7,140.585,115.7,13.7,7.3,5.9,35.2,29.207,2.267,31.474,12.7,13.8,5.3,1.5,4.469,3.246,7.715,26.5,6.1,9.4,7.1,0.0,4.2,4.7,2.5,0.8,4.5,0.9,0.7,1.5,1.0,0.5,0.412,1.066,10.622,473.3739999999999
2015-04-01,54.961,29.961,25.0,19.0,2.2,16.5,34.0,10.5,137.161,94.9,14.4,7.3,5.8,37.2,34.111,2.606,36.717,13.2,13.6,3.1,1.6,4.906,3.615,8.521,33.8,6.1,16.5,6.5,0.0,4.3,6.0,2.8,0.8,5.8,1.2,0.5,1.3,1.0,0.436,0.42,0.807,8.536999999999999,470.29900000000015
2015-05-01,42.122,17.349,24.773,19.6,4.9,19.8,48.5,10.5,145.422,127.6,11.7,6.8,5.7,34.8,30.794,3.833,34.627,12.9,14.8,5.0,2.6,5.24,4.376,9.616,29.5,8.1,12.5,6.1,0.0,3.6,7.1,2.8,0.9,7.9,1.3,0.5,1.6,0.6,0.503,0.541,1.114,11.042000000000002,507.2650000000001
2015-06-01,62.275000000000006,34.871,27.404,17.8,5.3,20.5,38.9,9.1,153.875,121.5,11.2,6.3,5.6,40.1,32.518,3.602,36.12,12.0,10.4,6.3,2.2,5.185,4.47,9.655,30.5,9.7,10.9,5.5,0.0,3.5,6.0,2.7,0.8,8.8,1.2,0.3,1.8,0.5,0.497,0.609,1.543,9.850999999999999,509.95000000000005
2015-07-01,52.233000000000004,25.21,27.023,21.8,1.7,19.2,39.1,8.8,142.83300000000003,78.6,12.6,3.6,5.8,33.3,33.877,2.707,36.584,12.2,13.3,5.6,2.4,4.842,4.332,9.174,33.5,9.8,12.5,6.1,0.0,1.0,6.5,2.6,0.8,8.6,1.2,0.3,1.8,0.5,0.503,0.383,1.389,13.125,456.59100000000007
2015-08-01,49.81999999999999,23.708,26.112,19.5,3.0,17.2,39.2,10.5,139.22,82.9,14.4,4.3,5.6,24.7,28.966,4.557,33.523,12.5,11.9,5.4,2.2,4.65,4.165,8.815000000000001,32.4,9.8,10.3,6.1,0.0,2.2,6.2,2.7,0.8,6.6,1.2,0.4,1.8,0.4,0.385,0.532,1.364,13.719000000000001,442.3579999999999
2015-09-01,54.214,29.339,24.875,23.5,2.3,18.6,38.3,9.8,146.714,75.1,16.1,5.8,5.5,40.8,35.715,3.701,39.416000000000004,12.3,11.6,6.0,2.3,4.453,4.33,8.783000000000001,33.0,9.0,9.2,6.5,2.2,3.0,4.6,2.7,0.7,7.9,1.3,0.4,1.9,0.5,0.381,0.471,1.38,12.868000000000002,468.41299999999995
2015-10-01,66.838,39.644,27.194,22.4,7.1,18.7,41.3,11.1,167.438,74.9,17.0,6.0,6.5,43.6,39.728,2.623,42.351,11.3,10.9,9.1,2.1,4.555,3.822,8.376999999999999,28.4,9.6,11.9,6.2,3.3,3.1,6.2,2.8,0.8,8.4,1.2,0.4,2.0,0.7,0.486,0.526,1.43,11.558,498.566
2015-11-01,59.074,31.557,27.517,22.2,5.2,20.0,38.1,11.2,155.774,75.0,16.7,6.6,6.3,43.2,33.833,3.165,36.998,10.7,10.7,8.3,1.9,4.304,4.741,9.045,35.1,9.1,11.0,5.6,3.2,3.1,6.3,2.3,0.9,8.1,1.2,0.4,1.8,0.6,0.398,0.482,1.336,12.384,484.51700000000005
2015-12-01,55.334999999999994,28.208,27.127,21.3,6.8,18.1,36.3,11.3,149.135,74.9,16.5,6.2,6.6,53.1,37.515,3.097,40.612,11.2,11.2,8.6,1.7,4.835,4.525,9.36,38.1,8.9,11.9,5.4,3.5,3.1,7.0,0.7,0.8,8.4,1.3,0.5,1.9,0.6,0.386,0.517,1.322,12.475,495.9069999999999
2016-01-01,46.44,16.846,29.594,18.6,4.9,19.7,38.7,9.6,137.94,92.7,13.9,5.4,6.2,38.0,28.813,3.726,32.539,9.9,11.2,8.2,1.9,4.258,4.646,8.904,29.5,7.1,11.7,4.8,3.2,3.2,6.2,0.0,0.2,8.5,1.1,0.5,1.8,0.7,0.534,0.424,1.408,12.534,460.1829999999999
2016-02-01,49.054,22.069,26.985,21.5,4.7,14.4,42.5,9.6,141.754,81.0,12.2,6.8,6.1,40.1,24.746,3.309,28.055,9.3,11.5,8.4,1.9,3.753,4.232,7.985,28.0,8.8,12.3,3.8,3.7,2.5,6.2,0.0,0.0,9.5,1.1,0.4,1.4,0.6,0.444,0.284,1.112,11.96,447.194
2016-03-01,54.242999999999995,27.252,26.991,22.9,5.4,17.6,46.6,10.4,157.143,91.9,13.7,7.8,6.1,38.0,31.581,3.21,34.791,9.2,11.4,10.3,2.2,4.232,4.828,9.06,27.6,8.9,13.2,4.0,5.7,3.1,5.5,0.0,0.0,9.5,1.1,0.4,1.6,0.7,0.459,0.432,1.337,12.172,487.29400000000004
2016-04-01,50.768,24.525,26.243,19.2,4.7,12.0,25.9,10.3,122.868,88.1,10.7,8.2,6.8,34.0,25.979,4.021,30.0,8.1,9.4,8.8,2.0,3.744,4.556,8.3,32.8,9.1,9.6,4.4,5.2,2.9,5.4,0.0,0.0,7.3,1.0,0.5,1.4,0.5,0.496,0.275,1.311,12.318,431.7679999999999
2016-05-01,45.894,24.525,21.369,18.5,4.9,13.4,39.0,9.7,131.394,95.5,14.9,9.0,7.1,48.2,26.832,3.827,30.659,8.9,10.2,8.8,2.4,4.392,4.636,9.028,30.8,9.3,13.1,4.3,4.4,2.7,5.3,0.0,0.0,9.0,1.1,0.5,1.4,0.6,0.41,0.131,1.427,11.632000000000001,472.18100000000004
2016-06-01,58.532,33.92,24.612,23.5,4.1,15.7,40.6,9.3,151.732,90.6,15.4,7.6,7.0,45.5,22.875,4.472,27.347,8.3,9.3,7.0,2.4,4.276,3.94,8.216,29.4,8.8,13.3,3.6,4.8,2.8,6.1,0.0,0.0,6.8,0.6,0.5,1.4,0.6,0.375,0.062,1.367,8.296,469.1950000000001
2016-07-01,55.617000000000004,29.892,25.725,18.2,4.9,17.2,36.2,10.5,142.61700000000002,70.1,13.7,6.0,6.1,46.3,26.305,1.819,28.124,8.3,9.3,8.0,2.3,4.152,3.702,7.854,28.6,8.8,15.7,4.1,5.4,2.9,6.9,0.0,0.0,7.0,1.1,0.4,1.5,0.5,0.454,0.036,1.336,12.074,445.49500000000006
2016-08-01,53.476,25.779,27.697,17.0,4.6,12.3,40.9,11.0,139.276,75.5,16.2,5.8,6.8,42.9,24.282,4.36,28.642,7.7,10.6,10.1,2.0,4.234,4.004,8.238,30.6,7.7,16.0,4.6,7.0,2.8,6.7,0.0,0.0,6.8,1.2,0.4,1.4,0.7,0.35,0.078,1.466,11.905999999999999,453.456
