empresa_faena,count,mean,median,std,min,max
escondida,146,95.64636514383562,95.55,15.354137613153618,20.0,133.614
chuqui_y_r_tomic,147,51.31154421768707,50.622,9.232582011870141,32.258,80.03
collahuasi,147,44.46824992291895,44.49,7.642846809491089,16.981,60.316
el_teniente,147,35.21771428571429,36.573,6.765020236076202,11.534,52.428
los_pelambres,147,28.984452525886567,29.4,4.576928259621259,14.0,38.1
angloamerican_sur,147,28.446265306122445,29.618,7.244083494528887,15.557,43.339999999999996
chuquicamata,147,26.008142857142857,24.938,8.161784615486312,11.359,54.039
radomiro_tomic,147,25.303401360544218,25.222,3.770316213728628,14.149,35.318
los_bronces,147,24.83408843537415,26.301,7.2206574539627715,11.326,40.192
spence,147,16.916802721088434,16.6,4.0198059887066515,6.1,30.106
andina,147,15.95160544217687,16.185,2.82879374204601,8.183,24.069
ministro_hales,147,14.363040816326532,14.433,4.741654320693652,1.5,24.707
centinela_sulfuros,147,13.63163521758639,14.0,3.340605093482578,6.289,24.4
otros,147,11.341706748906262,11.422502276212963,1.9026666193527457,7.999,16.887
sierra_gorda,138,11.252237364818235,10.974499999999999,3.396058958532528,3.8,19.163
candelaria,147,10.538909335120763,10.4,2.3497763283344653,0.803,17.9
caserones,145,9.89683960949614,10.3,2.8089560453664326,2.2,15.225
gabriela_mistral,147,8.986775510204081,9.1,1.71499175602443,3.657,13.378
capstone_copper,147,8.263331680474595,7.832,1.9074569710132083,5.48,15.78026201304223
el_abra,147,8.246900217687074,7.7,2.453378562510808,4.475,14.9
zaldivar,147,7.830305863110954,7.618,1.3288182367355823,3.588,11.285
centinela_oxidos,147,6.833148585034014,7.149,1.5351608751429546,3.401,10.1
antucoya,127,6.291930165354331,6.584713,1.0364963295140168,2.2,8.211
lomas_bayas,147,5.93257949659864,6.002,0.7461140834395046,3.541,7.3
cerro_colorado,119,5.421344537815126,5.224,1.4719372881640398,0.371,9.0
quebrada_blanca,147,5.061202183673469,2.2,6.1158379370399825,0.253,22.143
andacollo,146,4.798118651220554,4.9175,1.404292690247715,0.206,8.4
mantoverde,147,4.206202428773914,3.805,1.4972901051551946,2.411,10.747262013042231
mantos_blancos,147,4.057061224489797,4.045,0.6595128570048159,2.503,6.179
salvador,138,4.017608695652173,4.1,1.8879119019204482,0.061,11.6
el_soldado,147,3.612414965986394,3.657,0.88715873117218,1.386,5.542
ojos_del_salado,147,1.9119891062273977,2.0,0.5490342306944805,0.68,3.187
michilla,110,1.8605386727272728,1.6019999999999999,0.8598772238394055,0.200273,4.7
enami_plantas,147,1.3783006394557824,1.38,0.18238588023357113,0.766,1.854
franke,147,1.2816384829931973,1.219,0.3785300174567579,0.195,2.0
atacama_kozan,146,1.0539129942227397,1.1,0.20784556324109388,0.3,1.62
haldeman,25,0.796,0.8,0.14854853303438129,0.2,1.0
altos_de_punitaqui,76,0.5503026315789473,0.5,0.2499072905292063,0.1,1.1
pampa_camarones,115,0.4053217391304348,0.414,0.16532490859050145,0.01,0.717
cerro_negro,147,0.38894866060258504,0.38,0.10324379598138256,0.08036499999999999,0.843
tres_valles,147,0.3779949795918367,0.4,0.19185219507051865,0.086,0.8
