fecha,empresa_faena,produccion_miles_tm_cobre_fino,anio,mes
2014-01-01,chuqui_y_r_tomic,54.413,2014,1
2014-02-01,chuqui_y_r_tomic,48.554,2014,2
2014-03-01,chuqui_y_r_tomic,54.001999999999995,2014,3
2014-04-01,chuqui_y_r_tomic,48.457,2014,4
2014-05-01,chuqui_y_r_tomic,55.451,2014,5
2014-06-01,chuqui_y_r_tomic,60.941,2014,6
2014-07-01,chuqui_y_r_tomic,57.929,2014,7
2014-08-01,chuqui_y_r_tomic,58.602000000000004,2014,8
2014-09-01,chuqui_y_r_tomic,51.006,2014,9
2014-10-01,chuqui_y_r_tomic,56.992,2014,10
2014-11-01,chuqui_y_r_tomic,57.370999999999995,2014,11
2014-12-01,chuqui_y_r_tomic,63.923,2014,12
2015-01-01,chuqui_y_r_tomic,43.306,2015,1
2015-02-01,chuqui_y_r_tomic,37.711,2015,2
2015-03-01,chuqui_y_r_tomic,46.485,2015,3
2015-04-01,chuqui_y_r_tomic,54.961,2015,4
2015-05-01,chuqui_y_r_tomic,42.122,2015,5
2015-06-01,chuqui_y_r_tomic,62.275000000000006,2015,6
2015-07-01,chuqui_y_r_tomic,52.233000000000004,2015,7
2015-08-01,chuqui_y_r_tomic,49.81999999999999,2015,8
2015-09-01,chuqui_y_r_tomic,54.214,2015,9
2015-10-01,chuqui_y_r_tomic,66.838,2015,10
2015-11-01,chuqui_y_r_tomic,59.074,2015,11
2015-12-01,chuqui_y_r_tomic,55.334999999999994,2015,12
2016-01-01,chuqui_y_r_tomic,46.44,2016,1
2016-02-01,chuqui_y_r_tomic,49.054,2016,2
2016-03-01,chuqui_y_r_tomic,54.242999999999995,2016,3
2016-04-01,chuqui_y_r_tomic,50.768,2016,4
2016-05-01,chuqui_y_r_tomic,45.894,2016,5
2016-06-01,chuqui_y_r_tomic,58.532,2016,6
2016-07-01,chuqui_y_r_tomic,55.617000000000004,2016,7
2016-08-01,chuqui_y_r_tomic,53.476,2016,8
2016-09-01,chuqui_y_r_tomic,49.260999999999996,2016,9
2016-10-01,chuqui_y_r_tomic,52.683,2016,10
2016-11-01,chuqui_y_r_tomic,50.622,2016,11
2016-12-01,chuqui_y_r_tomic,53.675,2016,12
2017-01-01,chuqui_y_r_tomic,40.932,2017,1
2017-02-01,chuqui_y_r_tomic,39.772999999999996,2017,2
2017-03-01,chuqui_y_r_tomic,47.065,2017,3
2017-04-01,chuqui_y_r_tomic,49.831999999999994,2017,4
2017-05-01,chuqui_y_r_tomic,44.714,2017,5
2017-06-01,chuqui_y_r_tomic,45.335,2017,6
2017-07-01,chuqui_y_r_tomic,55.68,2017,7
2017-08-01,chuqui_y_r_tomic,56.768,2017,8
2017-09-01,chuqui_y_r_tomic,52.212,2017,9
2017-10-01,chuqui_y_r_tomic,73.148,2017,10
2017-11-01,chuqui_y_r_tomic,67.18700000000001,2017,11
2017-12-01,chuqui_y_r_tomic,77.145,2017,12
2018-01-01,chuqui_y_r_tomic,50.858000000000004,2018,1
2018-02-01,chuqui_y_r_tomic,52.447,2018,2
2018-03-01,chuqui_y_r_tomic,62.173,2018,3
2018-04-01,chuqui_y_r_tomic,50.229,2018,4
2018-05-01,chuqui_y_r_tomic,48.912,2018,5
2018-06-01,chuqui_y_r_tomic,50.254000000000005,2018,6
2018-07-01,chuqui_y_r_tomic,44.922,2018,7
2018-08-01,chuqui_y_r_tomic,47.177,2018,8
2018-09-01,chuqui_y_r_tomic,45.472,2018,9
2018-10-01,chuqui_y_r_tomic,50.056,2018,10
2018-11-01,chuqui_y_r_tomic,70.882,2018,11
2018-12-01,chuqui_y_r_tomic,80.03,2018,12
2019-01-01,chuqui_y_r_tomic,50.313,2019,1
2019-02-01,chuqui_y_r_tomic,39.823,2019,2
2019-03-01,chuqui_y_r_tomic,53.176,2019,3
2019-04-01,chuqui_y_r_tomic,49.78,2019,4
2019-05-01,chuqui_y_r_tomic,53.293,2019,5
2019-06-01,chuqui_y_r_tomic,47.168,2019,6
2019-07-01,chuqui_y_r_tomic,48.848,2019,7
2019-08-01,chuqui_y_r_tomic,63.416000000000004,2019,8
2019-09-01,chuqui_y_r_tomic,54.184,2019,9
2019-10-01,chuqui_y_r_tomic,55.919000000000004,2019,10
2019-11-01,chuqui_y_r_tomic,60.277,2019,11
2019-12-01,chuqui_y_r_tomic,75.549,2019,12
2020-01-01,chuqui_y_r_tomic,35.589999999999996,2020,1
2020-02-01,chuqui_y_r_tomic,45.864000000000004,2020,2
2020-03-01,chuqui_y_r_tomic,64.96,2020,3
